loss,accuracy,val_accuracy
0.7649933099746704,1.0,1.0
0.6771764159202576,0.12,0.0
0.399061769247055,0.08,0.0
0.2892920076847076,0.04,0.0
0.2104391306638717,0.04,0.0
0.1548603028059005,0.04,0.0
0.1156830489635467,0.04,0.0
0.0874139964580535,0.04,0.0
0.0674493238329887,0.04,0.0
0.0538060814142227,0.04,0.0
0.0445282235741615,0.04,0.0
0.0380023680627346,0.0,0.0
0.0331843271851539,0.04,0.0
0.0294096060097217,0.12,0.04
0.0263109449297189,0.12,0.08
0.0236976407468318,0.2,0.08
0.0214459057897329,0.24,0.12
0.0195007212460041,0.24,0.12
0.0178023986518383,0.24,0.16
0.0163226276636123,0.24,0.16
0.0150266857817769,0.28,0.16
0.013889760710299,0.28,0.2
0.0128905698657035,0.4,0.2
0.0120045626536011,0.44,0.2
0.0112206880003213,0.44,0.2
0.0105221513658761,0.48,0.24
0.0098959719762206,0.48,0.24
0.0093345995992422,0.48,0.24
0.0088263861835002,0.52,0.28
0.008363883011043,0.52,0.28
0.0079424083232879,0.56,0.36
0.0075530665926635,0.56,0.36
0.0071970717981457,0.56,0.4
0.0068680183030664,0.56,0.44
0.0065627442672848,0.56,0.44
0.0062805032357573,0.56,0.48
0.0060164933092892,0.56,0.52
0.0057731308043003,0.56,0.52
0.0055479831062257,0.56,0.52
0.0053382562473416,0.56,0.52
0.0051418654620647,0.56,0.56
0.0049601360224187,0.56,0.56
0.0047906604595482,0.56,0.56
0.0046348231844604,0.56,0.56
0.0044868281111121,0.56,0.56
0.0043496252037584,0.56,0.56
0.0042203324846923,0.56,0.56
0.0040996335446834,0.56,0.64
0.0039855577051639,0.56,0.64
0.003877397859469056,0.56,0.64
