loss,accuracy,val_accuracy
0.6636039018630981,0.0,0.0
0.6302945613861084,0.0,0.0
0.3231750428676605,0.0,0.0
0.180457204580307,0.0,0.0
0.1096784770488739,0.0,0.0
0.0723895505070686,0.0,0.0
0.0508454851806163,0.0,0.0
0.0375746041536331,0.0,0.0
0.0290688127279281,0.0,0.0
0.0234030894935131,0.0,0.0
0.0194836519658565,0.0,0.0
0.0166449472308158,0.0,0.0
0.0144924065098166,0.0,0.0
0.0127947032451629,0.08,0.0
0.011433801613748,0.12,0.04
0.0102921780198812,0.12,0.04
0.0093267280608415,0.16,0.08
0.0085000386461615,0.2,0.08
0.0077831419184803,0.2,0.12
0.007163343951106,0.2,0.2
0.0066176415421068,0.28,0.2
0.0061389207839965,0.44,0.2
0.0057182251475751,0.48,0.2
0.0053470246493816,0.48,0.24
0.0050162160769104,0.48,0.28
0.0047223796136677,0.48,0.32
0.0044593401253223,0.52,0.32
0.0042233848944306,0.52,0.36
0.0040076943114399,0.56,0.36
0.0038140835240483,0.56,0.36
0.0036372498143464,0.56,0.36
0.003474106779322,0.56,0.36
0.0033248749095946,0.56,0.44
0.0031867653597146,0.56,0.44
0.0030590763781219,0.56,0.52
0.0029411520808935,0.56,0.52
0.0028324103914201,0.56,0.56
0.0027297418564558,0.56,0.6
0.0026351970154792,0.56,0.64
0.002546772127971,0.56,0.68
0.0024637333117425,0.56,0.76
0.0023867751006036,0.56,0.76
0.0023139419499784,0.56,0.76
0.0022469602990895,0.56,0.8
0.0021830496843904,0.56,0.8
0.0021238457411527,0.56,0.8
0.0020669924560934,0.56,0.8
0.0020147489849478,0.56,0.8
0.001964536961168,0.56,0.8
0.0019173620967194438,0.56,0.8
