loss,accuracy,val_accuracy
0.7087194919586182,1.0,1.0
3.1788032054901123,1.0,1.0
4.739461421966553,0.0,0.0
1.6528973579406738,0.0,0.0
0.5149812698364258,0.0,0.0
0.3355236351490021,0.0,0.0
0.3847641348838806,0.0,0.0
0.2989546656608581,0.04,0.0
0.2116847783327102,0.04,0.0
0.1902703642845153,0.04,0.04
0.1833679974079132,0.04,0.04
0.1576824933290481,0.04,0.04
0.1165304854512214,0.12,0.08
0.0820246860384941,0.12,0.16
0.0718548595905304,0.2,0.32
0.0635513514280319,0.36,0.36
0.0394099652767181,0.4,0.4
0.01971435546875,0.4,0.56
0.0120889702811837,0.44,0.64
0.0089887371286749,0.44,0.68
0.0068288315087556,0.48,0.72
0.0050093126483261,0.52,0.72
0.0036316537298262,0.56,0.76
0.0026546441949903,0.56,0.76
0.0019745749887079,0.56,0.84
0.001522768754512,0.56,0.84
0.0012142164632678,0.56,0.84
0.0010085351532325,0.56,0.8
0.000864784407895,0.56,0.8
0.000766479759477,0.56,0.8
0.000696662813425,0.56,0.8
0.0006390527705661,0.6,0.8
0.000591411080677,0.6,0.8
0.0005492387572303,0.6,0.8
0.000511530728545,0.56,0.8
0.0004731938242912,0.56,0.8
0.0004433595458976,0.56,0.8
0.0004114105249755,0.56,0.8
0.00038350946852,0.56,0.8
0.0003604180237744,0.56,0.8
0.0003373993968125,0.56,0.8
0.0003163758665323,0.56,0.8
0.0002987203479278,0.56,0.8
0.0002796670887619,0.56,0.8
0.0002625281049404,0.56,0.8
0.0002484181895852,0.56,0.8
0.0002341492800042,0.56,0.8
0.0002229221281595,0.56,0.8
0.0002123890299117,0.56,0.8
0.0002024410059675,0.56,0.8
0.0001942884991876,0.56,0.8
0.0001868500403361,0.56,0.76
0.0001805358915589,0.56,0.76
0.0001745215558912,0.56,0.76
0.0001690265489742,0.56,0.76
0.0001635123771848,0.56,0.76
0.0001594181667314,0.56,0.76
0.0001552383037051,0.56,0.76
0.0001506389235146,0.56,0.76
0.0001469782873755,0.56,0.76
0.0001432415447197,0.56,0.76
0.000139771553222,0.56,0.76
0.0001372928963974,0.56,0.76
0.0001336799759883,0.56,0.76
0.0001309916260652,0.56,0.76
0.0001280792930629,0.56,0.76
0.0001260248536709,0.56,0.76
0.0001227692700922,0.56,0.76
0.0001204145301016,0.56,0.76
0.0001184315697173,0.56,0.76
0.0001159767343779,0.56,0.76
0.0001139650703407,0.56,0.76
0.0001118676955229,0.56,0.76
0.0001098799548344,0.56,0.76
0.00010793031106004491,0.56,0.76
