loss,accuracy,val_accuracy
0.692331075668335,0.96,1.0
0.4691781103610992,0.12,0.0
0.2293389290571212,0.0,0.0
0.1438589543104171,0.0,0.0
0.1004720851778984,0.0,0.0
0.0765056535601615,0.0,0.0
0.0616405010223388,0.0,0.0
0.0516689829528331,0.0,0.0
0.0446345619857311,0.0,0.0
0.0393424071371555,0.04,0.0
0.0351030267775058,0.04,0.0
0.0315737947821617,0.04,0.0
0.0285787060856819,0.08,0.0
0.0260103065520524,0.08,0.0
0.0237902123481035,0.12,0.0
0.0218481421470642,0.12,0.0
0.0201237257570028,0.12,0.0
0.018584644421935,0.2,0.12
0.0171942375600337,0.2,0.16
0.015933807939291,0.24,0.24
0.0147993480786681,0.28,0.32
0.0137732354924082,0.32,0.36
0.0128500377759337,0.44,0.36
0.0120159611105918,0.44,0.4
0.0112649444490671,0.52,0.4
0.0105850603431463,0.52,0.48
0.0099711306393146,0.52,0.56
0.0094098420813679,0.52,0.56
0.0088985217735171,0.56,0.56
0.0084291752427816,0.56,0.6
0.007999719120562,0.56,0.68
0.0076023912988603,0.56,0.68
0.007236607838422,0.56,0.68
0.0068979323841631,0.56,0.76
0.0065853204578161,0.56,0.76
0.0062950383871793,0.56,0.76
0.0060271429829299,0.56,0.8
0.0057793455198407,0.56,0.8
0.0055467225611209,0.56,0.84
0.0053338720463216,0.56,0.84
0.0051337094046175,0.56,0.84
0.004947253037244,0.56,0.84
0.0047729830257594,0.56,0.84
0.0046086045913398,0.56,0.84
0.0044555040076375,0.56,0.88
0.004312134347856,0.56,0.88
0.0041766441427171,0.56,0.88
0.0040484317578375,0.56,0.88
0.0039268247783184,0.56,0.88
0.0038134895730763674,0.56,0.88
