loss,accuracy,val_accuracy
0.6876997351646423,1.0,1.0
0.5719219446182251,0.0,0.0
0.2953833043575287,0.0,0.0
0.1651956886053085,0.0,0.0
0.0910344123840332,0.0,0.0
0.0575487837195396,0.0,0.0
0.0402165539562702,0.04,0.0
0.0288137085735797,0.04,0.0
0.021019859239459,0.04,0.0
0.0159288793802261,0.04,0.0
0.0126547003164887,0.04,0.0
0.0104794958606362,0.04,0.0
0.0089540937915444,0.04,0.0
0.0078212060034275,0.04,0.04
0.0069367210380733,0.12,0.12
0.006209472194314,0.16,0.12
0.0055980770848691,0.16,0.12
0.005076193716377,0.16,0.12
0.0046238466165959,0.24,0.12
0.00422989949584,0.4,0.16
0.0038866163231432,0.44,0.2
0.0035894641187042,0.48,0.2
0.0033298912458121,0.48,0.2
0.0031026247888803,0.52,0.24
0.002905098721385,0.52,0.28
0.0027311029843986,0.56,0.32
0.0025781395379453,0.56,0.32
0.0024428369943052,0.56,0.36
0.0023231331724673,0.56,0.36
0.0022159945219755,0.56,0.4
0.0021194401197135,0.56,0.4
0.0020324091892689,0.56,0.4
0.0019542204681783,0.56,0.44
0.0018821272533386,0.56,0.44
0.0018165413057431,0.56,0.44
0.0017560604028403,0.56,0.44
0.0016998584615066,0.56,0.44
0.0016479073092341,0.56,0.44
0.0015996131114661,0.56,0.44
0.0015537670115008,0.56,0.44
0.0015114082489162,0.56,0.44
0.0014709890820086,0.56,0.44
0.0014332861173897,0.56,0.44
0.0013978141359984,0.56,0.44
0.0013637782540172,0.56,0.44
0.0013316264376044,0.56,0.44
0.0013010159600526,0.56,0.44
0.0012725559063255,0.56,0.48
0.0012450329959392,0.56,0.48
0.0012189322151243687,0.56,0.48
