loss,accuracy,val_accuracy
0.7341062426567078,0.0,0.0
0.6377067565917969,0.0,0.0
0.3961213231086731,0.0,0.0
0.2500551640987396,0.0,0.0
0.1699080616235733,0.0,0.0
0.1212203279137611,0.0,0.0
0.0913917943835258,0.0,0.0
0.0729659050703048,0.0,0.0
0.0600953958928585,0.0,0.0
0.0509667210280895,0.0,0.0
0.0440512858331203,0.0,0.0
0.0385464802384376,0.04,0.04
0.034170389175415,0.04,0.04
0.0305117797106504,0.12,0.04
0.0274266488850116,0.16,0.04
0.0248070284724235,0.16,0.08
0.0225686114281415,0.16,0.12
0.0206716563552618,0.2,0.2
0.0190266482532024,0.16,0.28
0.0175702665001153,0.16,0.32
0.0162928644567728,0.16,0.32
0.0151466848328709,0.16,0.32
0.0141256228089332,0.24,0.36
0.0132121155038475,0.24,0.36
0.0123910130932927,0.24,0.36
0.011651967652142,0.36,0.36
0.0109829036518931,0.44,0.36
0.0103757753968238,0.52,0.48
0.0098186340183019,0.52,0.52
0.0093105910345911,0.52,0.52
0.0088466210290789,0.52,0.44
0.0084185376763343,0.56,0.48
0.0080277910456061,0.56,0.6
0.0076649170368909,0.56,0.68
0.0073309349827468,0.56,0.76
0.0070205442607402,0.56,0.76
0.0067336349748075,0.56,0.76
0.0064648790284991,0.56,0.76
0.0062144696712493,0.56,0.76
0.0059792958199977,0.56,0.76
0.0057604159228503,0.56,0.76
0.0055543221533298,0.56,0.76
0.0053609786555171,0.56,0.76
0.0051790555007755,0.56,0.8
0.005009482614696,0.56,0.84
0.0048489840701222,0.56,0.84
0.0046975640580058,0.56,0.84
0.004555138759315,0.56,0.84
0.0044217519462108,0.56,0.84
0.0042945630848407745,0.56,0.84
