loss,accuracy,val_accuracy
0.6419446468353271,0.08,0.0
0.6237766146659851,0.0,0.0
0.350408673286438,0.0,0.0
0.2192129492759704,0.0,0.0
0.1441600173711776,0.04,0.0
0.0993086323142051,0.04,0.0
0.0725392922759056,0.08,0.0
0.0563601292669773,0.08,0.0
0.0461416281759738,0.08,0.0
0.0391810573637485,0.12,0.0
0.0340908281505107,0.12,0.0
0.0301133375614881,0.12,0.0
0.0268946513533592,0.12,0.0
0.0242188740521669,0.16,0.08
0.0219440702348947,0.2,0.12
0.0199965871870517,0.24,0.16
0.0182855296880006,0.2,0.28
0.0167772993445396,0.28,0.32
0.015438262373209,0.28,0.36
0.0142483636736869,0.32,0.44
0.0132060954347252,0.32,0.52
0.0122843589633703,0.36,0.52
0.0114746391773223,0.44,0.56
0.010761683806777,0.48,0.6
0.0101310638710856,0.48,0.6
0.0095695871859788,0.48,0.64
0.0090656150132417,0.48,0.68
0.0086094932630658,0.52,0.68
0.0081903086975216,0.56,0.72
0.0078044049441814,0.56,0.72
0.0074493666179478,0.56,0.76
0.0071179186925292,0.56,0.8
0.0068077277392148,0.56,0.8
0.0065175844356417,0.56,0.84
0.0062455618754029,0.56,0.84
0.0059922207146883,0.56,0.84
0.0057537462562322,0.56,0.84
0.0055306772701442,0.56,0.84
0.0053214728832244,0.56,0.88
0.0051273433491587,0.56,0.88
0.0049449573270976,0.56,0.88
0.0047746486961841,0.56,0.88
0.0046149916015565,0.56,0.92
0.0044649634510278,0.56,0.96
0.0043244478292763,0.56,0.96
0.0041924803517758,0.56,0.96
0.004068954847753,0.56,0.96
0.0039511565119028,0.56,0.96
0.0038411582354456,0.56,0.96
0.003736069891601801,0.56,0.96
